CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR
TQRMNOQXVHMOLRCDEIJAH00812489;2024;3;1;1;1;S;33;2038;1;;5;1;;2;2;1;2;;1;2;1;2;2;2;2;5;5;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;7;2;5;1132500;7;;6;6;;7;161785,71;2;;2;2;;2;3981;2;0;98;0;0;0;Extendido
TQRMNORQTHJNKOCDEIKAH00866213;2024;3;1;1;43;S;34;364;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;320000;1;2;2;1;;1;160000;2;2;2;2;;1;413;1;0;3;0;0;0;Nuclear
TQRMNOQTVHLOKMCDEOJAH00808426;2024;3;1;1;44;N;93;99;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1095000;6;7;5;;7;6;365000;6;6;4;;6;5;98;2;0;98;0;0;0;Nuclear
TQRMNOUQYHLOKMCDEOJAH00808427;2024;3;1;1;44;N;93;85;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;760000;4;5;4;;5;4;190000;3;3;2;;3;1;178;1;3;98;0;0;0;Nuclear
TQRMNOSUQHKMKNCDEOJAH00872154;2024;3;1;1;44;N;93;101;1;;6;1;;2;1;1;1;;1;1;1;1;2;1;2;6;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;4000000;10;10;10;;10;10;1000000;9;10;9;;10;10;92;1;0;2;3;4;0;Nuclear
TQRMNOTYQHLLKOCDEHGHJ00805656;2024;3;1;1;44;N;20;128;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1800000;9;9;8;;9;8;1800000;10;10;10;;10;10;167;1;0;98;0;0;0;Unipersonal
TQRMNOSVQHKOLPCDEFOCD00872155;2024;3;1;1;41;N;8;267;1;;2;2;;4;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;430000;2;2;4;;3;5;107500;1;1;2;;1;3;498;1;2;98;0;0;0;Nuclear
TQRMNORQYHJNLOCDEFOCD00865708;2024;3;1;1;41;N;8;235;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;2;98;0;0;0;Nuclear
TQRMNOQTTHJOLQCDEFOCD00865718;2024;3;1;1;41;N;8;317;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;Nuclear
TQRMNOSRQHJOLQCDEFOCD00865719;2024;3;1;1;41;N;8;276;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;2;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;Nuclear
