CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;DENSIDAD_HOGAR
TQRMNORSPHJMKUCDEHPJB00793180;2024;1;1;1;40;S;29;394;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;0;98;0;0;0;MEDIO
TQRMNORVRHJMLLCDEHPJB00793223;2024;1;1;1;40;S;29;407;2;;2;1;;4;2;1;1;;1;2;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;8;;1;;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;3;0;3;482500;5;6;6;5;;6;160833,33;5;5;6;5;;6;505;2;0;3;0;0;0;MEDIO
TQRMNORWTHKOKTCDEHPJB00858811;2024;1;1;1;40;S;29;402;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;0;2;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;2;0;0;0;MEDIO
TQRMNOPRQHJLLNCDEHPJB00793225;2024;1;1;1;40;S;29;513;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;600000;6;7;7;6;;8;600000;10;10;10;9;;10;631;1;0;98;0;0;0;BAJO
TQRMNOPSRHLOLOCDEHPJB00854472;2024;1;1;1;40;S;29;284;2;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;1;2;2;2;2;3;0;3;336000;4;4;4;3;;4;112000;3;3;4;3;;4;325;1;2;3;0;0;0;MEDIO
TQRMNOPSVHLOLOCDEHPJB00854439;2024;1;1;1;40;S;29;624;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;160000;1;1;1;1;;1;160000;5;5;6;4;;6;655;1;0;98;0;0;0;BAJO
TQRMNORRRHMOLSCDEHPJB00801274;2024;1;1;1;40;S;29;289;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;1;2;2;2;2;2;0;2;150000;1;1;1;1;;1;75000;2;2;2;2;;2;302;1;2;98;0;0;0;BAJO
TQRMNORYVHLNNMCDEIJAH00858812;2024;1;1;1;1;S;33;313;1;;3;1;;2;1;1;1;;1;1;1;2;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;390000;4;;4;4;;4;390000;8;;8;8;;9;353;1;0;98;0;0;0;BAJO
TQRMNOPPXHMNLNCDEHGHJ00800509;2024;1;1;1;44;N;20;160;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;0;2;250000;2;3;2;;3;2;125000;3;3;2;;4;3;273;2;0;98;0;0;0;BAJO
TQRMNORSTHMOLMCDEGLDF00800035;2024;1;1;1;41;N;15;99;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;2;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;0;2;350000;4;4;5;;4;5;175000;5;5;7;;5;8;107;2;0;98;0;0;0;MEDIO
